order_id,customer_id,order_date,total_amount
3001,1054,2023-03-16,408.41
3002,1060,2023-05-26,256.71
3003,1097,2023-03-17,428.94
3004,1008,2023-01-09,396.01
3005,1053,2023-03-15,79.81
3006,1060,2023-05-25,70.64
3007,1005,2023-01-07,329.36
3008,1068,2023-06-23,206.34
3009,1006,2023-05-21,144.11
3010,1096,2023-06-17,310.84
3011,1094,2023-06-19,203.7
3012,1047,2023-05-17,291.77
3013,1099,2023-06-27,257.05
3014,1055,2023-01-27,313.14
3015,1040,2023-05-02,230.14
3016,1052,2023-01-05,363.95
3017,1016,2023-01-29,131.03
3018,1013,2023-06-14,363.43
3019,1030,2023-06-15,235.25
3020,1019,2023-03-24,443.44
3021,1017,2023-05-16,281.86
3022,1063,2023-04-19,487.9
3023,1019,2023-03-06,320.87
3024,1092,2023-03-27,150.73
3025,1058,2023-05-25,419.81
3026,1055,2023-03-12,205.29
3027,1090,2023-02-14,206.43
3028,1090,2023-05-12,64.31
3029,1062,2023-02-05,296.92
3030,1023,2023-03-11,290.49
3031,1009,2023-06-08,210.2
3032,1012,2023-01-19,452.4
3033,1001,2023-04-18,107.94
3034,1058,2023-06-16,198.54
3035,1001,2023-04-01,194.71
3036,1034,2023-03-31,91.53
3037,1096,2023-01-19,266.52
3038,1048,2023-02-08,359.5
3039,1089,2023-05-06,280.25
3040,1001,2023-06-22,120.64
3041,1016,2023-05-21,219.78
3042,1061,2023-05-06,51.17
3043,1064,2023-02-27,440.74
3044,1063,2023-05-28,88.03
3045,1069,2023-03-02,318.78
3046,1022,2023-05-07,493.82
3047,1093,2023-04-15,291.47
3048,1067,2023-06-16,465.82
3049,1076,2023-01-01,156.25
3050,1026,2023-05-11,391.98
3051,1016,2023-04-02,289.07
3052,1051,2023-04-23,374.23
3053,1086,2023-06-02,78.05
3054,1057,2023-02-25,116.48
3055,1029,2023-06-10,109.9
3056,1078,2023-06-15,359.22
3057,1092,2023-04-27,430.0
3058,1069,2023-05-14,387.33
3059,1047,2023-02-27,63.71
3060,1094,2023-02-13,440.25
3061,1062,2023-06-22,209.37
3062,1069,2023-06-09,228.72
3063,1076,2023-06-22,97.19
3064,1016,2023-03-02,381.83
3065,1090,2023-02-16,132.03
3066,1090,2023-05-29,303.78
3067,1048,2023-03-21,428.32
3068,1085,2023-04-28,90.14
3069,1039,2023-06-13,290.9
3070,1100,2023-05-27,154.95
3071,1033,2023-01-20,204.32
3072,1094,2023-05-26,263.29
3073,1023,2023-02-16,209.8
3074,1010,2023-02-18,341.97
3075,1069,2023-01-14,265.81
3076,1100,2023-05-23,312.89
3077,1034,2023-06-08,381.57
3078,1052,2023-01-01,300.98
3079,1095,2023-04-27,313.94
3080,1010,2023-02-23,304.01
3081,1019,2023-04-28,220.45
3082,1058,2023-01-03,201.85
3083,1096,2023-05-24,454.84
3084,1001,2023-01-12,323.4
3085,1069,2023-03-15,159.96
3086,1004,2023-01-16,274.21
3087,1016,2023-04-12,198.66
3088,1024,2023-06-01,470.16
3089,1080,2023-06-05,53.39
3090,1002,2023-04-27,151.4
3091,1092,2023-01-08,214.41
3092,1032,2023-05-02,269.51
3093,1091,2023-04-02,432.87
3094,1084,2023-06-13,89.55
3095,1024,2023-03-31,412.64
3096,1012,2023-05-16,75.04
3097,1050,2023-03-01,429.04
3098,1035,2023-06-27,73.24
3099,1033,2023-01-28,58.21
3100,1033,2023-04-11,363.63
3101,1061,2023-02-10,498.76
3102,1051,2023-06-04,453.47
3103,1043,2023-05-25,309.2
3104,1012,2023-06-10,462.83
3105,1067,2023-06-06,52.39
3106,1065,2023-05-21,488.78
3107,1033,2023-02-15,270.84
3108,1040,2023-02-04,375.3
3109,1074,2023-05-14,419.39
3110,1043,2023-03-23,373.31
3111,1044,2023-04-25,290.77
3112,1029,2023-02-16,264.48
